callsign,ncdcid,wban,name,country,st,county,lat,lon,elev,utc,stntype,tz
KSFX,30001917.0,4107.0,POCATELLO,UNITED STATES,ID,BINGHAM,43.1056,-112.68613,4539.0,-7.0,NEXRAD,America/Boise
KSGF,30001918.0,13995.0,SPRINGFIELD,UNITED STATES,MO,GREENE,37.235239,-93.400419,1375.0,-6.0,NEXRAD,America/Chicago
KSHV,30001920.0,13957.0,SHREVEPORT,UNITED STATES,LA,CADDO,32.450833,-93.84125,387.0,-6.0,NEXRAD,America/Chicago
KSJT,30001921.0,23034.0,SAN ANGELO,UNITED STATES,TX,TOM GREEN,31.371278000000004,-100.4925,2004.0,-6.0,NEXRAD,America/Chicago
KSOX,30001922.0,53117.0,SANTA ANA MOUNTAINS,UNITED STATES,CA,ORANGE,33.817733000000004,-117.63600000000001,3106.0,-8.0,NEXRAD,America/Los_Angeles
KSRX,30001948.0,53906.0,FORT SMITH,UNITED STATES,AR,SEBASTIAN,35.290417,-94.361889,737.0,-6.0,NEXRAD,America/Chicago
KTBW,30001923.0,92801.0,TAMPA,UNITED STATES,FL,HILLSBOROUGH,27.7055,-82.40177800000001,122.0,-5.0,NEXRAD,America/New_York
KTFX,30001925.0,4102.0,GREAT FALLS,UNITED STATES,MT,CASCADE,47.459583,-111.38533000000001,3805.0,-7.0,NEXRAD,America/Denver
KTLH,30001924.0,93805.0,TALLAHASSEE,UNITED STATES,FL,LEON,30.397583,-84.32894399999999,177.0,-5.0,NEXRAD,America/New_York
KTLX,30001926.0,3979.0,OKLAHOMA CITY,UNITED STATES,OK,OKLAHOMA,35.333361,-97.277761,1278.0,-6.0,NEXRAD,America/Chicago
KTWX,30001927.0,3986.0,TOPEKA,UNITED STATES,KS,WABAUNSEE,38.99695,-96.23255,1415.0,-6.0,NEXRAD,America/Chicago
KTYX,30001946.0,54776.0,FORT DRUM,UNITED STATES,NY,LEWIS,43.755694,-75.679861,1960.0,-5.0,NEXRAD,America/New_York
KUDX,30001928.0,94047.0,RAPID CITY,UNITED STATES,SD,PENNINGTON,44.124722,-102.83,3195.0,-6.0,NEXRAD,America/Denver
KUEX,30001929.0,94981.0,HASTINGS,UNITED STATES,NE,WEBSTER,40.320833,-98.44194399999999,2057.0,-6.0,NEXRAD,America/Chicago
KVAX,30001947.0,53856.0,MOODY AFB,UNITED STATES,GA,LANIER,30.890278000000002,-83.001806,330.0,-5.0,NEXRAD,America/New_York
KVBX,30001930.0,93234.0,VANDENBERG AFB,UNITED STATES,CA,SANTA BARBARA,34.83855,-120.39791000000001,1354.0,-8.0,NEXRAD,America/Los_Angeles
KVNX,30001931.0,3995.0,VANCE AFB,UNITED STATES,OK,ALFALFA,36.740617,-98.127717,1258.0,-6.0,NEXRAD,America/Chicago
KVTX,30001932.0,53101.0,LOS ANGELES,UNITED STATES,CA,VENTURA,34.412017,-119.17875,2807.0,-8.0,NEXRAD,America/Los_Angeles
KVWX,30001609.0,63845.0,EVANSVILLE,UNITED STATES,IN,GIBSON,38.26025,-87.724528,625.0,-6.0,NEXRAD,America/Chicago
KYUX,30001934.0,53116.0,YUMA,UNITED STATES,AZ,PIMA,32.495281,-114.65671,239.0,-7.0,NEXRAD,America/Phoenix
PABC,30001939.0,,BETHEL FAA,UNITED STATES,AK,BETHEL,60.791943999999994,-161.87638,193.0,-9.0,NEXRAD,America/Anchorage
PACG,30001940.0,25361.0,SITKA,UNITED STATES,AK,SITKA BOROUGH,56.852778,-135.52916000000002,272.0,-9.0,NEXRAD,America/Sitka
PAEC,30001941.0,26641.0,NOME,UNITED STATES,AK,NOME,64.51138900000001,-165.295,90.0,-9.0,NEXRAD,America/Nome
PAHG,30001942.0,26548.0,ANCHORAGE,UNITED STATES,AK,KENAI PENINSU,60.725914,-151.35146,356.0,-9.0,NEXRAD,America/Anchorage
PAIH,30001958.0,25404.0,MIDDLETON ISLAND,UNITED STATES,AK,CHUGACH CENSU,59.460767000000004,-146.30344,132.0,-9.0,NEXRAD,America/Anchorage
PAKC,30001959.0,25503.0,KING SALMON,UNITED STATES,AK,BRISTOL BAY B,58.679444,-156.62944,144.0,-9.0,NEXRAD,America/Anchorage
PAPD,30001960.0,24690.0,FAIRBANKS,UNITED STATES,AK,FAIRBANKS NOR,65.03511400000001,-147.50143,2707.0,-9.0,NEXRAD,America/Anchorage
PGUA,30001961.0,41417.0,ANDERSEN AFB AGANA,GUAM,GU,GUAM,13.455832999999998,144.811111,386.0,-8.0,NEXRAD,Pacific/Guam
PHKI,30001962.0,22548.0,SOUTH KAUAI,UNITED STATES,HI,KAUAI,21.893889,-159.5525,340.0,-10.0,NEXRAD,Pacific/Honolulu
PHKM,30001963.0,22550.0,KAMUELA,UNITED STATES,HI,HAWAII,20.125278,-155.77777,3966.0,-10.0,NEXRAD,Pacific/Honolulu
PHMO,30001964.0,22547.0,MOLOKAI,UNITED STATES,HI,HAWAII,21.132778,-157.18027,1444.0,-8.0,NEXRAD,Pacific/Honolulu
PHWA,30001965.0,22513.0,SOUTH SHORE,UNITED STATES,HI,HAWAII,19.095,-155.56888,1461.0,-10.0,NEXRAD,Pacific/Honolulu
RKJK,30001967.0,43219.0,KUNSAN,"KOREA, SOUTH",,,35.924167,126.622222,192.0,9.0,NEXRAD,Asia/Seoul
RKSG,30001968.0,43216.0,CAMP HUMPHREYS,"KOREA, SOUTH",,,37.207569,127.28556100000002,1521.0,9.0,NEXRAD,Asia/Seoul
RODN,30001969.0,42219.0,KADENA,JAPAN,,,26.3078,127.903469,412.0,9.0,NEXRAD,Asia/Tokyo
TJUA,30001966.0,11655.0,SAN JUAN,UNITED STATES,PR,SAN JUAN,18.115667000000002,-66.07816700000001,2958.0,-4.0,NEXRAD,America/Puerto_Rico
KJAN,,,JACKSON,UNITED STATES,MS,,32.31777777777778,-90.08,362.6168,,NEXRAD,America/Chicago
